ENTITY_NAME	ATTRIBUTE_NAME	DOMAIN_NAME	#	Module	A/B/ID/RL/AS	CC/BIE	Business Term	Dictionary Entry Name	Object Class Term Qualifier	Object Class Term	Property Term Qualifier	Property Term	Datatype Qualifiry	Representation Term	Associate Object Class Term Qualifier	Associate Object Class Term	Relation Object Class Term Qualifier	Relation Object Class Term	DESCRIPTION	Card.
BAS SETTLEMENT METHOD	SETTLEMENT METHOD		724	4.Base	A	BIE	Settlement Method	Settlement Method_ List. Detail. 	Settlement Method 	List		Detail							"Contains information on methods used to settle transactions. Businesses can adopt various methods to settle transactions and transfer money, especially in sales and purchase activities. Typical settlement methods include: cash settlements, issuing bills, using credit cards, bank remittances and bank collection."	
BAS SETTLEMENT METHOD	SETTLEMENT METHOD CODE	IDENTIFIER 60	725	4.Base	ID	BIE	Settlement Method Code	Settlement Method_ List. ID	Settlement Method 	List		Identification		Identifier					"The code of the settlement method. Various methods can be used to settle transactions and transfer money; for example, 001 for cash, 002 for bills, 003 for credit card, 004 for remittance, and 005 for bank collection."	1..1
BAS SETTLEMENT METHOD	SETTLEMENT METHOD NAME	TEXT 60	726	4.Base	B	BIE	Name	Settlement Method_ List. Name. Name	Settlement Method 	List		Name		Name					"The name of the settlement method; for example, cash settlement, issuing bills, credit card, bank remittance and bank collection."	1..1
BAS SETTLEMENT METHOD	ACTIVE FLAG	BOOLEAN	727	4.Base	B	BIE	Active Flag	Settlement Method_ List. Active Flag. indicator	Settlement Method 	List		Active Flag		indicator					"This indicates whether the settlement method is active or inactive; for example, 1 is active and 0 is inactive."	0..1
BAS CURRENCY	CURRENCY		728	4.Base	A	BIE	Currency	Currency_ List. Detail. 	Currency 	List		Detail							Contains the information of the currency.	
BAS CURRENCY	CURRENCY CODE	CURRENCY CODE	729	4.Base	ID	BIE	Currency Code	Currency_ List. ID	Currency 	List		Currency		Identifier					"The code of the currency type (ISO 4217, Codes for the representation of currencies)."	1..1
BAS CURRENCY	CURRENCY NAME	TEXT 30	730	4.Base	B	BIE	Currency Name	Currency_ List. Name. Name	Currency 	List		Name		Name					The name of the currency type in the accounting and/or ERP system.	1..1
BAS CURRENCY	MINOR UNIT	UNIT	731	4.Base	B	BIE	Minor Unit	Currency_ List. Minor Unit. Identifier	Currency 	List		Minor Unit		Identifier					"The unit of recorded value which is a division of the respective unit of currency. Minor unit shows the decimal relationship between such unit and the currency itself (ISO 4217). Number 0 means that there is no minor unit for that currency, whereas number 1, 2, 3, etc. signify a ratio of 10:1, 100:1, 1000:1, etc. respectively.
EXAMPLE The US cent is a one hundredth part of the US dollar; the GB penny is a one hundredth part of the pound sterling. The minor unit number for both is 2."	0..1
BAS CURRENCY	ACTIVE FLAG	BOOLEAN	732	4.Base	B	BIE	Flag	Currency_ List. Active Flag. indicator	Currency 	List		Active Flag		indicator					"This indicates whether Currency Code is active or inactive; for example, 1 is active and 0 is inactive."	0..1
BAS MEASUREMENT UNIT	MEASUREMENT UNIT		733	4.Base	A	BIE	Measurement Unit	Measurement Unit_ List. Detail. 	Measurement Unit 	List		Detail							"Contains information of the measurement unit (UOM) used in the modules of general ledger, sales, purchase and inventory and PPE."	
BAS MEASUREMENT UNIT	UOM CODE	MEASUREMENT UNIT CODE	734	4.Base	ID	BIE	UOM Code	Measurement Unit_ List. ID	Measurement Unit 	List		Identification		Identifier					The code of the measurement unit.	1..1
BAS MEASUREMENT UNIT	UOM NAME	TEXT 80	735	4.Base	B	BIE	Name	Measurement Unit_ List. Name. Name	Measurement Unit 	List		Name		Name					The name of the measurement unit for measuring the quantity of the material.	1..1
BAS MEASUREMENT UNIT	UOM ABBREVIATION	TEXT 40	736	4.Base	B	BIE	Abbreviation	Measurement Unit_ List. Abbreviation. Text	Measurement Unit 	List		Abbreviation		Text					"The abbreviation of the measurement unit's name; for example, kilogram is recorded as 'kg' and square meter is recorded as 'sq.m'."	1..1
BAS MEASUREMENT UNIT	ACTIVE FLAG	BOOLEAN	737	4.Base	B	BIE	Active Flag	Measurement Unit_ List. Active Flag. indicator	Measurement Unit 	List		Active Flag		indicator					"This indicates whether the UOM Code is active or inactive; for example, 1 is active and 0 is inactive."	0..1
BAS PAYMENT TERM	PAYMENT TERM		738	4.Base	A	BIE	Payment Term	Payment Term_ List. Detail. 	Payment Term 	List		Detail							"Contains the details of the payment term, which is applied and referenced in the purchase ans sales modules.The payment term refers to the condition of a sale/purchase agreement and is related to how the customer will pay (type of credit instrument), and especially how much time is allowed for payment (credit period) and discount (cash discount and discount period)."	
BAS PAYMENT TERM	PAYMENT TERM CODE	PAYMENT TERM CODE	739	4.Base	ID	BIE	Payment Term Code	Payment Term_ List. ID	Payment Term 	List		Identification		Identifier					"The code of the payment term; for example, terms of 2/10, net 60 could be quoted. This means that customers have 60 days from the invoice date to pay the full amount. However, if payment is made within 10 days, a 2 percent cash discount can be taken."	1..1
BAS PAYMENT TERM	PAYMENT TERM NAME	TEXT 200	740	4.Base	B	BIE	Name	Payment Term_ List. Name. Name	Payment Term 	List		Name		Name					The full name of the payment term.	1..1
BAS PAYMENT TERM	PAYMENT TERM LINE NUMBER	TEXT 10	741	4.Base	B	BIE	Line Number	Payment Term_ List. Line Number. Code	Payment Term 	List		Line Number		Code					The number of the lines according to the Payment Term Code value. This number is either generated by manual input or generated by the system.	1..1
BAS PAYMENT TERM	PAYMENT TERM LINE DESCRIPTION	TEXT 1000	742	4.Base	B	BIE	Line Description	Payment Term_ List. Description. Text	Payment Term 	List		Description		Text					"The detailed description of the payment term's line; for example, payment due date, discount days, discount percentage."	1..1
BAS PAYMENT TERM	ACTIVE FLAG	BOOLEAN	743	4.Base	B	BIE	Active Flag	Payment Term_ List. Active Flag. indicator	Payment Term 	List		Active Flag		indicator					"This indicates whether the payment term is active or inactive; for example, 1 is active and 0 is inactive."	0..1
BAS PROJECT	PROJECT		744	4.Base	A	BIE	Project	Project_ List. Detail. 	Project 	List		Detail							"Contains the detailed information related to the project; for example, construction project, government or business-funded research project. Projects are commonly administrated seperately and could be subject to being audit in accordance with regulatory and/or managerial requirements. The audit of a project is a thorough examination of the management, execution, methodology, procedures, records, budgets, expenditures, and the degree of completion. It is referenced in several modules including the GL, AR, AP and Inventory."	
BAS PROJECT	PROJECT ID	IDENTIFIER 60	745	4.Base	ID	BIE	Project ID	Project_ List. ID	Project 	List		Identification		Identifier					The unique identifier for the project.	1..1
BAS PROJECT	PROJECT CODE	TEXT 80	746	4.Base	B	BIE	Code	Project_ List. Code. Code	Project 	List		Code		Code					The code of each project.	1..1
BAS PROJECT	PROJECT NAME	TEXT 80	747	4.Base	B	BIE	Name	Project_ List. Name. Name	Project 	List		Name		Name					The name of the project related to operation and administration.	1..1
BAS PROJECT	PROJECT BEGINNING DATE	DATE	748	4.Base	B	BIE	Beginning Date	Project_ List. Beginning Date. Date	Project 	List		Beginning Date		Date					The beginning date of the project.	0..1
BAS PROJECT	PROJECT ENDING DATE	DATE	749	4.Base	B	BIE	Ending Date	Project_ List. Ending Date. Date	Project 	List		Ending Date		Date					The ending date of the project.	0..1
BAS PROJECT	ACTIVE FLAG CODE	BOOLEAN	750	4.Base	B	BIE	Active Flag	Project_ List. Active Flag. Indicator	Project 	List		Active Flag		Indicator					"This indicates whether the project is active or inactive; for example, 1 is active and 0 is inactive."	0..1
BAS PROJECT	BUSINESS SEGMENT X	TEXT 25	751	4.Base	RL	BIE	Business Segment X	Project_ List. X. Business Segment_ List	Project 	List		X					Business Segment	List	"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each reference reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	1..1
BAS BANK ACCOUNT	BANK ACCOUNT		752	4.Base	A	BIE	Bank Account	Bank Account_ List. Detail. 	Bank Account 	List		Detail							Contains the details of a bank account.	
BAS BANK ACCOUNT	BANK ACCOUNT NUMBER	IDENTIFIER 60	753	4.Base	ID	BIE	Account Number	Bank Account_ List. ID	Bank Account 	List		Identification		Identifier					"The number of the account opened in institutions, for example, bank, financial institution and settlement center. ISO 13616 is recommended if applicable."	1..1
BAS BANK ACCOUNT	BANK ACCOUNT NAME	TEXT 128	754	4.Base	B	BIE	Account Name	Bank Account_ List. Account Name. Name	Bank Account 	List		Account Name		Name					"The name of the account opened in institutions, for example, bank, financial institution and settlement center."	1..1
BAS BANK ACCOUNT	BANK CODE	BANK CODE	755	4.Base	B	BIE	Bank Code	Bank Account_ List. Code. Identifier	Bank Account 	List		Code		Identifier					The code of the financial institution ((ISO 9362 or ISO 17442). ISO 17442 is preferred. One reason is that bank branch identifier will not change due to location movement.	1..1
BAS BANK ACCOUNT	BANK NAME	TEXT 200	756	4.Base	B	BIE	Bank Name	Bank Account_ List. Name. Name	Bank Account 	List		Name		Name					"The full name of the institution for example, bank, financial institution and settlement center."	1..1
BAS BANK ACCOUNT	BRANCH CODE	BRANCH CODE	757	4.Base	B	BIE	Branch Code	Bank Account_ List. Branch Code. Identifier	Bank Account 	List		Branch Code		Identifier					The code of the institution's branch.	1..1
BAS BANK ACCOUNT	BRANCH NAME	TEXT 200	758	4.Base	B	BIE	Branch Name	Bank Account_ List. Branch Name. Name	Bank Account 	List		Branch Name		Name					The full name of the institution's branch.	1..1
BAS BANK ACCOUNT	BRANCH COUNTRY CODE	COUNTRY CODE	759	4.Base	B	BIE	Branch Country Code	Bank Account_ List. Branch Country. Code	Bank Account 	List		Branch Country		Code					The country code where the bank is physically located (ISO 3166-1).	0..1
BAS BANK ACCOUNT	BRANCH REGION	TEXT 25	760	4.Base	B	BIE	Branch Region	Bank Account_ List. Branch Region. Text	Bank Account 	List		Branch Region		Text					"Sub-region within country; in the U.S., this would be a state; in Canada it would be a province."	0..1
BAS BANK ACCOUNT	ACTIVE FLAG	BOOLEAN	761	4.Base	B	BIE	Active Flag	Bank Account_ List. Active Flag. indicator	Bank Account 	List		Active Flag		indicator					"This indicates whether the bank account is active or inactive; for example, 1 is active and 0 is inactive."	0..1
BAS BANK ACCOUNT	BUSINESS SEGMENT X	TEXT 25	762	4.Base	RL	BIE	Business Segment X	Bank Account_ List. X. Business Segment_ List	Bank Account 	List		X					Business Segment	List	"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each reference reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	1..1
			763	4.Base	A	BIE	Tax Regulator		Tax Regulator	Party		Detail								
BAS TAX REGULATORY	REGULATOR CODE	REGULATOR CODE	764	4.Base	ID	BIE	Tax Regulator Code	Tax Regulator_ Party. ID	Tax Regulator	Party		Regulator		Identifier					The code of the regulator or jurisdiction.	1..1
BAS TAX REGULATORY	REGULATOR COUNTRY CODE	COUNTRY CODE	765	4.Base	B	BIE	Country Code	Tax Regulator_ Party. Country Code. Code	Tax Regulator	Party		Country Code		Code					The country code where the regulator is located (ISO 3166-1).	1..1
BAS TAX REGULATORY	REGULATOR REGION	REGION	766	4.Base	B	BIE	Region	Tax Regulator_ Party. Regulator Region. Text	Tax Regulator	Party		Regulator Region		Text					"The sub-region within country; For example, in the U.S., this would be state and in Canada it would be province."	1..1
BAS TAX REGULATORY	REGULATOR NAME	TEXT 100	767	4.Base	B	BIE	Name	Tax Regulator_ Party. Regulator Name. Name	Tax Regulator	Party		Regulator Name		Name					The name of the regulator for which tax is withheld or accrued.	1..1
BAS TAX REGULATORY	REGULATOR ROLE	TEXT 20	768	4.Base	B	BIE	Role	Tax Regulator_ Party. Regulator Role. Text	Tax Regulator	Party		Regulator Role		Text					"The role of the regulator: federal, regional or local."	1..1
BAS TAX REGULATORY	TAX REGULATORY		769	4.Base	A	BIE	Tax Regulatory	Tax Regulatory_ List. Detail. 	Tax Regulatory 	List		Detail							"Contains regulatory information related to taxes, for example, regulator country, region, name and role."	
			770	4.Base	ID	BIE	Tax regulatory ID	Tax Regulatory_ List. ID	Tax Regulatory 	List		Identification		Identifier						1..1
BAS TAX REGULATORY	REGULATOR CODE	REGULATOR CODE	771	4.Base	RL	BIE	Regulator Code	Tax Regulatory_ List. Regulator. Tax Regulator_ Party	Tax Regulatory 	List		Regulator					Tax Regulator	Party	The code of the regulator or jurisdiction.	1..1
BAS TAX REGULATORY	REGULATOR PAYABLE ACCOUNT NUM	IDENTIFIER 100	772	4.Base	RL	BIE	Payable Account Number	Tax Regulatory_ List. Payable. Chart Of Accounts_ Accounting Account	Tax Regulatory 	List		Payable					Chart Of Accounts	Accounting Account	The GL account used to reflect amounts payable to the regulator.  GL Account Name.	1..1
BAS TAX REGULATORY	REGULATOR ACCRUAL ACCOUNT NUM	IDENTIFIER 100	773	4.Base	RL	BIE	Accrual Account Number	Tax Regulatory_ List. Accrual. Chart Of Accounts_ Accounting Account	Tax Regulatory 	List		Accrual					Chart Of Accounts	Accounting Account	The GL account used to reflect accruals due to the regulator. 	1..1
BAS TAX REGULATORY	REGULATOR EXPENSE ACCOUNT NUM	IDENTIFIER 100	774	4.Base	RL	BIE	Expense Account Number	Tax Regulatory_ List. Expense. Chart Of Accounts_ Accounting Account	Tax Regulatory 	List		Expense					Chart Of Accounts	Accounting Account	The GL account used to reflect expense related to the regulator. 	1..1
BAS TAX REGULATORY	REGULATOR ID	IDENTIFIER 25	775	4.Base	B	BIE	Registered ID	Tax Regulatory_ List. Registered. Identifier	Tax Regulatory 	List		Registered		Identifier					The ID assigned / generated by the regulator for the reporting organization to the regulator.	1..1
BAS TAX REGULATORY	REGULATOR REPORTING ORG	IDENTIFIER 80	776	4.Base	RL	BIE	Reporting Organization	Tax Regulatory_ List. Reporting Organization. Business Segment_ List	Tax Regulatory 	List		Reporting Organization		Identifier			Business Segment	List	The code of the reporting organization. 	1..1
BAS TAX REGULATORY	REGULATOR ACTIVE FLAG	BOOLEAN	777	4.Base	B	BIE	Active Flag	Tax Regulatory_ List. Active Flag. Indicator	Tax Regulatory 	List		Active Flag		Indicator					"This indicates whether the Regulator Code is active or inactive; for example, 1 is active and 0 is inactive."	1..1
BAS TAX REGULATORY	BUSINESS SEGMENT X	TEXT 25	778	4.Base	RL	BIE	Business Segment X	Tax Regulatory_ List. X. Business Segment_ List	Tax Regulatory 	List		X					Business Segment	List	"A reserved field that shall be used for business segments / structures. The 'X' signifies an organizational level. Each number used to replace the 'X' is associated with each reference reference level. For example, division, department, business unit, purchasing organization, project or legal entity."	1..1
